ACCTAGE,AGE,ATM,ATMAMT,BRANCH,CASHBK,CC,CCBAL,CCPURC,CD,CDBAL,CHECKS,CRSCORE,DDA,DDABAL,DEP,DEPAMT,DIRDEP,HMOWN,HMVAL,ILS,ILSBAL,INAREA,INCOME,INV,INVBAL,IRA,IRABAL,LOC,LOCBAL,LORES,MM,MMBAL,MMCRED,MOVED,MTG,MTGBAL,NSF,NSFAMT,PHONE,POS,POSAMT,RES,SAV,SAVBAL,SDB,TELLER,id
15.8,58.0,1.0,1647.62,B4,0.0,1.0,376.22,0.0,1.0,8000.0,0.0,673.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,1.0,13833.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,421.32,R,1.0,9108.3,1.0,0.0,1954
3.9,22.0,1.0,949.88,B1,0.0,1.0,4244.01,0.0,0.0,0.0,14.0,631.0,1.0,1396.35,4.0,3599.73,1.0,1.0,132.0,0.0,0.0,1.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.45,1.0,6.0,349.63,R,0.0,0.0,1.0,0.0,15
4.1,,1.0,2439.81,B4,0.0,1.0,1254.84,0.0,0.0,0.0,4.0,679.0,1.0,1214.76,2.0,1860.22,0.0,,,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1.0,362.95,0.0,0.0,6536
,,1.0,614.16,B4,0.0,1.0,275.8,0.0,0.0,0.0,1.0,722.0,1.0,460.65,2.0,849.69,0.0,,,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,0.0,0.0,0.0,2.0,9000
4.5,,0.0,0.0,B2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,0.0,0.0,0.0,0.0,1832
2.5,47.0,0.0,0.0,B3,0.0,1.0,74.85,0.0,1.0,2400.0,0.0,684.0,0.0,0.0,0.0,0.0,0.0,1.0,85.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,0.0,0.0,0.0,0.0,9881
4.3,31.0,0.0,0.0,B2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,642.0,0.0,0.0,0.0,0.0,0.0,1.0,106.0,0.0,0.0,1.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,0.0,0.0,0.0,0.0,444
0.7,31.0,0.0,0.0,B6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,625.0,0.0,0.0,0.0,0.0,0.0,1.0,121.0,0.0,0.0,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,0.0,0.0,0.0,0.0,9364
4.5,51.0,0.0,0.0,B6,0.0,1.0,251.04,0.0,0.0,0.0,24.0,658.0,1.0,5175.13,5.0,6334.29,1.0,0.0,107.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,1.0,12361.88,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,1.0,43972.67,0.0,2.0,2905
4.1,56.0,1.0,353.53,B9,0.0,0.0,0.0,0.0,1.0,8700.0,0.0,663.0,1.0,517.36,1.0,669.32,0.0,1.0,85.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,85.17,U,0.0,0.0,0.0,0.0,5689
2.0,57.0,1.0,333.09,B1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,1.0,105.08,2.0,258.7,0.0,0.0,110.0,0.0,0.0,1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1.0,4.14,0.0,0.0,61
1.3,53.0,1.0,139.08,B6,0.0,1.0,8352.55,1.0,0.0,0.0,1.0,677.0,1.0,1886.28,2.0,326.3,0.0,1.0,99.0,1.0,9979.84,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,1.0,3335.18,0.0,9.0,9845
0.9,32.0,0.0,0.0,B4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612.0,1.0,60.68,0.0,0.0,0.0,0.0,95.0,0.0,0.0,1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,0.0,0.0,0.0,0.0,8137
3.0,29.0,1.0,2152.84,B4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,611.0,1.0,750.84,3.0,1703.81,0.0,0.0,118.0,0.0,0.0,1.0,24.0,0.0,0.0,1.0,488.64,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.86,0.0,0.0,0.0,U,0.0,0.0,0.0,0.0,8621
1.9,,1.0,2171.5,B2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,626.0,1.0,1827.1,2.0,539.6,0.0,,,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,617.85,R,0.0,0.0,0.0,0.0,7319
2.1,59.0,1.0,314.67,B7,1.0,1.0,153561.3,2.0,0.0,0.0,21.0,658.0,1.0,1941.31,2.0,4607.72,1.0,1.0,142.0,1.0,10149.57,1.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,1.0,167670.5,0.0,0.0,2.0,13.0,412.25,R,0.0,0.0,0.0,0.0,5135
2.7,58.0,1.0,3051.37,B3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,667.0,1.0,2298.34,4.0,2617.52,0.0,0.0,113.0,0.0,0.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,S,0.0,0.0,0.0,0.0,5948
2.0,47.0,1.0,1277.89,B4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,671.0,1.0,748.02,2.0,1376.62,1.0,1.0,126.0,0.0,0.0,1.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,0.0,0.0,0.0,0.0,9084
7.7,67.0,0.0,0.0,B4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,1.0,5.1,2.0,44.16,0.0,1.0,101.0,0.0,0.0,1.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,U,1.0,0.12,0.0,3.0,6001
2.4,35.0,0.0,0.0,B18,0.0,,,,0.0,0.0,0.0,680.0,0.0,0.0,0.0,0.0,0.0,1.0,86.0,0.0,0.0,1.0,6.0,,,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,U,0.0,0.0,0.0,0.0,10066
12.3,43.0,0.0,0.0,B13,0.0,1.0,2536.47,0.0,1.0,7900.0,0.0,665.0,1.0,280.64,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,0.0,0.0,0.0,0.0,3229
0.3,18.0,1.0,2082.11,B2,0.0,1.0,18.95,0.0,0.0,0.0,7.0,588.0,1.0,1320.47,2.0,1954.03,0.0,0.0,104.0,0.0,0.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,156.0,R,0.0,0.0,1.0,1.0,10597
,22.0,0.0,0.0,B4,0.0,1.0,1622.4,0.0,0.0,0.0,14.0,669.0,1.0,3711.18,2.0,2232.49,1.0,0.0,112.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,1.0,195.37,0.0,2.0,6290
4.4,46.0,1.0,1243.77,B1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,676.0,1.0,291.34,3.0,993.29,0.0,1.0,114.0,0.0,0.0,1.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,103.69,S,1.0,4.27,0.0,0.0,8911
9.9,62.0,0.0,0.0,B6,0.0,1.0,9380.14,0.0,0.0,0.0,0.0,731.0,0.0,0.0,0.0,0.0,0.0,1.0,109.0,0.0,0.0,1.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,0.0,0.0,0.0,0.0,4632
4.8,49.0,0.0,0.0,B8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,635.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,1.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,15083.76,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,0.0,0.0,1.0,0.0,5750
10.0,21.0,0.0,0.0,B4,0.0,0.0,0.0,0.0,1.0,7100.0,4.0,619.0,1.0,8123.88,1.0,6778.48,0.0,0.0,112.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1.0,28623.77,0.0,2.0,2746
,55.0,1.0,4678.78,B4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,703.0,1.0,1570.01,4.0,4880.6,1.0,0.0,117.0,0.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,1.0,3266.99,0.0,0.0,6057
5.3,57.0,1.0,1762.65,B4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,699.0,1.0,1287.19,2.0,994.37,0.0,1.0,129.0,0.0,0.0,1.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,0.0,0.0,0.0,0.0,4762
1.3,40.0,1.0,905.62,B15,0.0,,,,0.0,0.0,2.0,663.0,1.0,258.46,2.0,715.15,0.0,0.0,97.0,0.0,0.0,1.0,12.0,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,U,0.0,0.0,0.0,0.0,3903
7.8,42.0,1.0,50.87,B15,0.0,,,,0.0,0.0,4.0,606.0,1.0,7503.33,2.0,19106.36,1.0,1.0,123.0,0.0,0.0,1.0,61.0,,,0.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,U,0.0,0.0,0.0,2.0,4596
7.4,68.0,0.0,0.0,B18,0.0,,,,1.0,2700.0,3.0,730.0,1.0,4779.15,1.0,649.83,0.0,0.0,119.0,0.0,0.0,1.0,36.0,,,0.0,0.0,0.0,0.0,5.5,1.0,18554.96,0.0,0.0,0.0,0.0,0.0,0.0,,,,U,0.0,0.0,0.0,0.0,10337
2.8,57.0,1.0,205.85,B3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,737.0,1.0,41.27,2.0,489.42,1.0,1.0,91.0,0.0,0.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,0.0,0.0,0.0,0.0,2078
14.3,26.0,1.0,348.08,B4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,616.0,1.0,300.92,5.0,1885.5,0.0,0.0,142.0,0.0,0.0,1.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.67,1.0,1.0,128.49,U,0.0,0.0,0.0,6.0,1481
1.5,37.0,0.0,0.0,B4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,634.0,1.0,7068.65,2.0,1214.32,0.0,1.0,121.0,0.0,0.0,1.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,0.0,0.0,0.0,7.0,2522
